KODE_KAB,KABUPATEN,JENJANG_PENDIDIKAN,PCT_BERAT
7472,"Kota Baubau, Sulawesi Tenggara",Jenjang Pendidikan SMK,0
5171,"Kota Denpasar, Bali",Jenjang Pendidikan SMK,0
9105,"Kab. Manokwari, Papua Barat",Jenjang Pendidikan SMK,0
6108,"Kab. Kapuas Hulu, Kalimantan Barat",Jenjang Pendidikan SMK,0
1310,"Kab. Solok Selatan, Sumatera Barat",Jenjang Pendidikan SMK,0
2105,"Kab. Kepulauan Anambas, Kepulauan Riau",Jenjang Pendidikan SMK,0
1702,"Kab. Rejang Lebong, Bengkulu",Jenjang Pendidikan SMK,0
3373,"Kota Salatiga, Jawa Tengah",Jenjang Pendidikan SMK,0
6203,"Kab. Kapuas, Kalimantan Tengah",Jenjang Pendidikan SMK,0
7102,"Kab. Minahasa, Sulawesi Utara",Jenjang Pendidikan SMK,0
1102,"Kab. Aceh Singkil, Aceh",Jenjang Pendidikan SMK,0
1902,"Kab. Belitung, Bangka Belitung",Jenjang Pendidikan SMK,0
9109,"Kab. Tambrauw, Papua Barat",Jenjang Pendidikan SMK,0
1377,"Kota Pariaman, Sumatera Barat",Jenjang Pendidikan SMK,0
1113,"Kab. Gayo Lues, Aceh",Jenjang Pendidikan SMK,0
1473,"Kota Dumai, Riau",Jenjang Pendidikan SMK,0
6172,"Kota Singkawang, Kalimantan Barat",Jenjang Pendidikan SMK,0
5205,"Kab. Dompu, Nusa Tenggara Barat",Jenjang Pendidikan SMK,0
5103,"Kab. Badung, Bali",Jenjang Pendidikan SMK,0
9419,"Kab. Sarmi, Papua",Jenjang Pendidikan SMK,0
1301,"Kab. Kepulauan Mentawai, Sumatera Barat",Jenjang Pendidikan SMK,0
7110,"Kab. Bolaang Mongondow Selatan, Sulawesi Utara",Jenjang Pendidikan SMK,0
9429,"Kab. Nduga, Papua",Jenjang Pendidikan SMK,0
1602,"Kab. Ogan Komering Ilir, Sumatera Selatan",Jenjang Pendidikan SMK,0
6474,"Kota Bontang, Kalimantan Timur",Jenjang Pendidikan SMK,0
5107,"Kab. Karang Asem, Bali",Jenjang Pendidikan SMK,0
9432,"Kab. Yalimo, Papua",Jenjang Pendidikan SMK,0
6201,"Kab. Kotawaringin Barat, Kalimantan Tengah",Jenjang Pendidikan SMK,0
1708,"Kab. Kepahiang, Bengkulu",Jenjang Pendidikan SMK,0
1613,"Kab. Musi Rawas Utara, Sumatera Selatan",Jenjang Pendidikan SMK,0
6212,"Kab. Barito Timur, Kalimantan Tengah",Jenjang Pendidikan SMK,0
9415,"Kab. Asmat, Papua",Jenjang Pendidikan SMK,0
7101,"Kab. Bolaang Mongondow, Sulawesi Utara",Jenjang Pendidikan SMK,0
9110,"Kab. Maybrat, Papua Barat",Jenjang Pendidikan SMK,0
2103,"Kab. Natuna, Kepulauan Riau",Jenjang Pendidikan SMK,0
1771,"Kota Bengkulu, Bengkulu",Jenjang Pendidikan SMK,0
9420,"Kab. Keerom, Papua",Jenjang Pendidikan SMK,0
1971,"Kota Pangkalpinang, Bangka Belitung",Jenjang Pendidikan SMK,0
6101,"Kab. Sambas, Kalimantan Barat",Jenjang Pendidikan SMK,0
8271,"Kota Ternate, Maluku Utara",Jenjang Pendidikan SMK,0
1373,"Kota Sawah Lunto, Sumatera Barat",Jenjang Pendidikan SMK,0
6271,"Kota Palangka Raya, Kalimantan Tengah",Jenjang Pendidikan SMK,0
1216,"Kab. Pakpak Bharat, Sumatera Utara",Jenjang Pendidikan SMK,0
9417,"Kab. Pegunungan Bintang, Papua",Jenjang Pendidikan SMK,0
3523,"Kab. Tuban, Jawa Timur",Jenjang Pendidikan SMK,0
1271,"Kota Sibolga, Sumatera Utara",Jenjang Pendidikan SMK,0
6304,"Kab. Barito Kuala, Kalimantan Selatan",Jenjang Pendidikan SMK,0
7305,"Kab. Takalar, Sulawesi Selatan",Jenjang Pendidikan SMK,0
1606,"Kab. Musi Banyuasin, Sumatera Selatan",Jenjang Pendidikan SMK,0
8172,"Kota Tual, Maluku",Jenjang Pendidikan SMK,0
5108,"Kab. Buleleng, Bali",Jenjang Pendidikan SMK,0
9418,"Kab. Tolikara, Papua",Jenjang Pendidikan SMK,0
6308,"Kab. Hulu Sungai Utara, Kalimantan Selatan",Jenjang Pendidikan SMK,0
1709,"Kab. Bengkulu Tengah, Bengkulu",Jenjang Pendidikan SMK,0
6372,"Kota Banjarbaru, Kalimantan Selatan",Jenjang Pendidikan SMK,0
5272,"Kota Bima, Nusa Tenggara Barat",Jenjang Pendidikan SMK,0
5320,"Kab. Sabu Raijua, Nusa Tenggara Timur",Jenjang Pendidikan SMK,0
6502,"Kab. Bulungan, Kalimantan Utara",Jenjang Pendidikan SMK,0
9107,"Kab. Sorong, Papua Barat",Jenjang Pendidikan SMK,0
7407,"Kab. Wakatobi, Sulawesi Tenggara",Jenjang Pendidikan SMK,0
5102,"Kab. Tabanan, Bali",Jenjang Pendidikan SMK,0
9102,"Kab. Kaimana, Papua Barat",Jenjang Pendidikan SMK,0
8171,"Kota Ambon, Maluku",Jenjang Pendidikan SMK,0
7316,"Kab. Enrekang, Sulawesi Selatan",Jenjang Pendidikan SMK,0
1303,"Kab. Solok, Sumatera Barat",Jenjang Pendidikan SMK,0
6411,"Kab. Mahakam Ulu, Kalimantan Timur",Jenjang Pendidikan SMK,0
1706,"Kab. Muko-muko, Bengkulu",Jenjang Pendidikan SMK,0
1210,"Kab. Dairi, Sumatera Utara",Jenjang Pendidikan SMK,0
6211,"Kab. Gunung Mas, Kalimantan Tengah",Jenjang Pendidikan SMK,0
7205,"Kab. Donggala, Sulawesi Tengah",Jenjang Pendidikan SMK,0
2101,"Kab. Karimun, Kepulauan Riau",Jenjang Pendidikan SMK,0
1103,"Kab. Aceh Selatan, Aceh",Jenjang Pendidikan SMK,0
1904,"Kab. Bangka Tengah, Bangka Belitung",Jenjang Pendidikan SMK,0
8205,"Kab. halmahera Utara, Maluku Utara",Jenjang Pendidikan SMK,0
7325,"Kab. Luwu Timur, Sulawesi Selatan",Jenjang Pendidikan SMK,0
1374,"Kota Padang Panjang, Sumatera Barat",Jenjang Pendidikan SMK,0
6213,"Kab. Murung Raya, Kalimantan Tengah",Jenjang Pendidikan SMK,0
7210,"Kab. Sigi, Sulawesi Tengah",Jenjang Pendidikan SMK,0
9414,"Kab. Mappi, Papua",Jenjang Pendidikan SMK,0
7172,"Kota Bitung, Sulawesi Utara",Jenjang Pendidikan SMK,0
1172,"Kota Sabang, Aceh",Jenjang Pendidikan SMK,0
1871,"Kota Bandar Lampung, Lampung",Jenjang Pendidikan SMK,0.1215
2171,"Kota Batam, Kepulauan Riau",Jenjang Pendidikan SMK,0.1441
3311,"Kab. Sukoharjo, Jawa Tengah",Jenjang Pendidikan SMK,0.1479
3504,"Kab. Tulungagung, Jawa Timur",Jenjang Pendidikan SMK,0.1984
7271,"Kota Palu, Sulawesi Tengah",Jenjang Pendidikan SMK,0.2165
3514,"Kab. Pasuruan, Jawa Timur",Jenjang Pendidikan SMK,0.2591
1275,"Kota Medan, Sumatera Utara",Jenjang Pendidikan SMK,0.3067
1276,"Kota Binjai, Sumatera Utara",Jenjang Pendidikan SMK,0.3096
1207,"Kab. Labuhan Batu, Sumatera Utara",Jenjang Pendidikan SMK,0.3401
1204,"Kab. Tapanuli Tengah, Sumatera Utara",Jenjang Pendidikan SMK,0.4505
3403,"Kab. Gunung Kidul, D.I. Yogyakarta",Jenjang Pendidikan SMK,0.4552
3571,"Kota Kediri, Jawa Timur",Jenjang Pendidikan SMK,0.4651
3505,"Kab. Blitar, Jawa Timur",Jenjang Pendidikan SMK,0.4773
1404,"Kab. Pelalawan, Riau",Jenjang Pendidikan SMK,0.4808
6171,"Kota Pontianak, Kalimantan Barat",Jenjang Pendidikan SMK,0.5025
7404,"Kab. Kolaka, Sulawesi Tenggara",Jenjang Pendidikan SMK,0.5051
1312,"Kab. Pasaman Barat, Sumatera Barat",Jenjang Pendidikan SMK,0.5319
1306,"Kab. Padang Pariaman, Sumatera Barat",Jenjang Pendidikan SMK,0.5319
3376,"Kota Tegal, Jawa Tengah",Jenjang Pendidikan SMK,0.554
1872,"Kota Metro, Lampung",Jenjang Pendidikan SMK,0.5814
5271,"Kota Mataram, Nusa Tenggara Barat",Jenjang Pendidikan SMK,0.6079
1105,"Kab. Aceh Timur, Aceh",Jenjang Pendidikan SMK,0.6289
