KODE_KAB,KABUPATEN,JENJANG_PENDIDIKAN,PCT_BERAT
1375,"Kota Bukittinggi, Sumatera Barat",Jenjang Pendidikan SMP,9.9526
1376,"Kota Payakumbuh, Sumatera Barat",Jenjang Pendidikan SMP,22.028
1377,"Kota Pariaman, Sumatera Barat",Jenjang Pendidikan SMP,1.2658
1401,"Kab. Kuantan Singingi, Riau",Jenjang Pendidikan SMP,4.8544
1402,"Kab. Indragiri Hulu, Riau",Jenjang Pendidikan SMP,10.963
1403,"Kab. Indragiri Hilir, Riau",Jenjang Pendidikan SMP,10.52
1404,"Kab. Pelalawan, Riau",Jenjang Pendidikan SMP,2.3622
1405,"Kab. Siak, Riau",Jenjang Pendidikan SMP,12.2847
1406,"Kab. Kampar, Riau",Jenjang Pendidikan SMP,7.6717
1407,"Kab. Rokan Hulu, Riau",Jenjang Pendidikan SMP,3.2221
1408,"Kab. Bengkalis, Riau",Jenjang Pendidikan SMP,4.8757
1409,"Kab. Rokan Hilir, Riau",Jenjang Pendidikan SMP,10.166
1410,"Kab. Kepulauan Meranti, Riau",Jenjang Pendidikan SMP,21.2996
1471,"Kota Pekanbaru, Riau",Jenjang Pendidikan SMP,1.7279
1473,"Kota Dumai, Riau",Jenjang Pendidikan SMP,5.3738
1501,"Kab. Kerinci, Jambi",Jenjang Pendidikan SMP,15.6818
1502,"Kab. Merangin, Jambi",Jenjang Pendidikan SMP,7.401
1503,"Kab. Sarolangun, Jambi",Jenjang Pendidikan SMP,12.8319
1504,"Kab. Batang Hari, Jambi",Jenjang Pendidikan SMP,8.3333
1505,"Kab. Muaro Jambi, Jambi",Jenjang Pendidikan SMP,6.6781
1506,"Kab. Tanjung Jabung Timur, Jambi",Jenjang Pendidikan SMP,19.7059
1507,"Kab. Tanjung Jabung Barat, Jambi",Jenjang Pendidikan SMP,5.7644
1508,"Kab. Tebo, Jambi",Jenjang Pendidikan SMP,8.7146
1509,"Kab. Bungo, Jambi",Jenjang Pendidikan SMP,9.6838
1571,"Kota Jambi, Jambi",Jenjang Pendidikan SMP,7.6837
1572,"Kota Sungai Penuh, Jambi",Jenjang Pendidikan SMP,20
1601,"Kab. Ogan Komering Ulu, Sumatera Selatan",Jenjang Pendidikan SMP,5.7895
1602,"Kab. Ogan Komering Ilir, Sumatera Selatan",Jenjang Pendidikan SMP,18.0542
1603,"Kab. Muara Enim, Sumatera Selatan",Jenjang Pendidikan SMP,13.3406
1604,"Kab. Lahat, Sumatera Selatan",Jenjang Pendidikan SMP,10.3976
1605,"Kab. Musi Rawas, Sumatera Selatan",Jenjang Pendidikan SMP,12.8814
1606,"Kab. Musi Banyuasin, Sumatera Selatan",Jenjang Pendidikan SMP,15.1546
1607,"Kab. Banyuasin, Sumatera Selatan",Jenjang Pendidikan SMP,16.1215
1608,"Kab. Ogan Komering Ulu Selatan, Sumatera Selatan",Jenjang Pendidikan SMP,16.8337
1609,"Kab. Ogan Komering Ulu Timur, Sumatera Selatan",Jenjang Pendidikan SMP,19.9764
1610,"Kab. Ogan Ilir, Sumatera Selatan",Jenjang Pendidikan SMP,18.5118
1611,"Kab. Empat Lawang, Sumatera Selatan",Jenjang Pendidikan SMP,30.9227
1612,"Kab. Penukal Abab Lematang Ilir, Sumatera Selatan",Jenjang Pendidikan SMP,8.7121
1613,"Kab. Musi Rawas Utara, Sumatera Selatan",Jenjang Pendidikan SMP,22.541
