KODE_KAB,KABUPATEN,JENJANG_PENDIDIKAN,PCT_BERAT
3208,Kuningan,Jenjang Pendidikan SD,19.9508
3210,Majalengka,Jenjang Pendidikan SD,10.1386
3214,Purwakarta,Jenjang Pendidikan SD,9.87
3213,Subang,Jenjang Pendidikan SD,13.634
3211,Sumedang,Jenjang Pendidikan SD,11.8486
3272,Kota Sukabumi,Jenjang Pendidikan SD,3.7456
3202,Sukabumi,Jenjang Pendidikan SD,15.406
3206,Tasikmalaya,Jenjang Pendidikan SD,13.8881
3278,Kota Tasikmalaya,Jenjang Pendidikan SD,5.1526
3316,Blora,Jenjang Pendidikan SD,6.2452
3304,Banjarnegara,Jenjang Pendidikan SD,4.9474
3309,Boyolali,Jenjang Pendidikan SD,4.2316
3329,Brebes,Jenjang Pendidikan SD,9.5528
3325,Batang,Jenjang Pendidikan SD,4.0664
3302,Banyumas,Jenjang Pendidikan SD,6.2458
3301,Cilacap,Jenjang Pendidikan SD,6.6646
3321,Demak,Jenjang Pendidikan SD,12.4671
3315,Grobogan,Jenjang Pendidikan SD,16.6028
3320,Jepara,Jenjang Pendidikan SD,3.4056
3313,Karanganyar,Jenjang Pendidikan SD,2.4456
3305,Kebumen,Jenjang Pendidikan SD,7.9977
3310,Klaten,Jenjang Pendidikan SD,11.2102
3324,Kendal,Jenjang Pendidikan SD,9.0835
3319,Kudus,Jenjang Pendidikan SD,6.4673
3308,Magelang,Jenjang Pendidikan SD,8.2207
3318,Pati,Jenjang Pendidikan SD,16.3455
3303,Purbalingga,Jenjang Pendidikan SD,5.3603
3327,Pemalang,Jenjang Pendidikan SD,7.1599
3375,Kota Pekalongan,Jenjang Pendidikan SD,3.778
3326,Pekalongan,Jenjang Pendidikan SD,4.559
3306,Purworejo,Jenjang Pendidikan SD,7.2342
3317,Rembang,Jenjang Pendidikan SD,6.4297
3314,Sragen,Jenjang Pendidikan SD,9.5026
3311,Sukoharjo,Jenjang Pendidikan SD,3.5082
3374,Kota Semarang,Jenjang Pendidikan SD,2.7267
3322,Semarang,Jenjang Pendidikan SD,3.6627
3323,Temanggung,Jenjang Pendidikan SD,10.1878
3376,Kota Tegal,Jenjang Pendidikan SD,4.2373
3328,Tegal,Jenjang Pendidikan SD,9.0741
3312,Wonogiri,Jenjang Pendidikan SD,10.3954
3307,Wonosobo,Jenjang Pendidikan SD,6.9675
6102,Bengkayang,Jenjang Pendidikan SD,18.6499
6106,Ketapang,Jenjang Pendidikan SD,11.5373
6108,Kapuas Hulu,Jenjang Pendidikan SD,9.0026
6103,Landak,Jenjang Pendidikan SD,17.3084
6110,Melawi,Jenjang Pendidikan SD,23.5744
6109,Sekadau,Jenjang Pendidikan SD,5.9917
6107,Sintang,Jenjang Pendidikan SD,21.1765
6101,Sambas,Jenjang Pendidikan SD,10.6213
6105,Sanggau,Jenjang Pendidikan SD,7.3116
6405,Berau,Jenjang Pendidikan SD,2.2709
6502,Bulungan,Jenjang Pendidikan SD,18.4735
6403,Kutai Kartanegara,Jenjang Pendidikan SD,6.3057
1207,Labuhan Batu,Jenjang Pendidikan SD,3.3365
6404,Kutai Timur,Jenjang Pendidikan SD,4.8072
6501,Malinau,Jenjang Pendidikan SD,8.8023
6504,Nunukan,Jenjang Pendidikan SD,6.8452
6401,Paser,Jenjang Pendidikan SD,7.162
6409,Penajam Paser Utara,Jenjang Pendidikan SD,1.7621
2101,Karimun,Jenjang Pendidikan SD,5.5708
2104,Lingga,Jenjang Pendidikan SD,6.746
2103,Natuna,Jenjang Pendidikan SD,6.789
6311,Balangan,Jenjang Pendidikan SD,1.8467
6304,Barito Kuala,Jenjang Pendidikan SD,8.0357
6306,Hulu Sungai Selatan,Jenjang Pendidikan SD,4.4532
6307,Hulu Sungai Tengah,Jenjang Pendidikan SD,3.5077
