KODE_KAB,KABUPATEN,JENJANG_PENDIDIKAN,PCT_BERAT
1106,"Kab. Aceh Tengah, Aceh",Jenjang Pendidikan SMA,9.7345
6501,"Kab. Malinau, Kalimantan Utara",Jenjang Pendidikan SMA,9.6154
8207,"Kab. Kepulauan Morotai, Maluku Utara",Jenjang Pendidikan SMA,9.5238
9417,"Kab. Pegunungan Bintang, Papua",Jenjang Pendidikan SMA,9.5238
1604,"Kab. Lahat, Sumatera Selatan",Jenjang Pendidikan SMA,9.5032
7408,"Kab. Kolaka Utara, Sulawesi Tenggara",Jenjang Pendidikan SMA,9.434
8101,"Kab. Maluku Tenggara Barat, Maluku",Jenjang Pendidikan SMA,9.4241
1301,"Kab. Kepulauan Mentawai, Sumatera Barat",Jenjang Pendidikan SMA,9.396
5202,"Kab. Lombok Tengah, Nusa Tenggara Barat",Jenjang Pendidikan SMA,9.3812
6404,"Kab. Kutai Timur, Kalimantan Timur",Jenjang Pendidikan SMA,9.3117
5308,"Kab. Lembata, Nusa Tenggara Timur",Jenjang Pendidikan SMA,9.2857
1502,"Kab. Merangin, Jambi",Jenjang Pendidikan SMA,9.0909
8109,"Kab. Buru Selatan, Maluku",Jenjang Pendidikan SMA,9.0909
5205,"Kab. Dompu, Nusa Tenggara Barat",Jenjang Pendidikan SMA,9.0253
8108,"Kab. Maluku Barat Daya, Maluku",Jenjang Pendidikan SMA,8.9552
1217,"Kab. Samosir, Sumatera Utara",Jenjang Pendidikan SMA,8.8757
7604,"Kab. Mamuju, Sulawesi Barat",Jenjang Pendidikan SMA,8.8608
8106,"Kab. Seram Bagian Barat, Maluku",Jenjang Pendidikan SMA,8.8496
8202,"Kab. Halmahera Tengah, Maluku Utara",Jenjang Pendidikan SMA,8.8235
1902,"Kab. Belitung, Bangka Belitung",Jenjang Pendidikan SMA,8.7912
5314,"Kab. Rote-Ndao, Nusa Tenggara Timur",Jenjang Pendidikan SMA,8.7838
1203,"Kab. Tapanuli Selatan, Sumatera Utara",Jenjang Pendidikan SMA,8.7591
5272,"Kota Bima, Nusa Tenggara Barat",Jenjang Pendidikan SMA,8.6538
1110,"Kab. Bireuen, Aceh",Jenjang Pendidikan SMA,8.3732
7409,"Kab. Buton Utara, Sulawesi Tenggara",Jenjang Pendidikan SMA,8.3333
3321,"Kab. Demak, Jawa Tengah",Jenjang Pendidikan SMA,8.3141
8201,"Kab. Halmahera Barat, Maluku Utara",Jenjang Pendidikan SMA,8.2192
7316,"Kab. Enrekang, Sulawesi Selatan",Jenjang Pendidikan SMA,8.0321
1404,"Kab. Pelalawan, Riau",Jenjang Pendidikan SMA,7.971
7307,"Kab. Sinjai, Sulawesi Selatan",Jenjang Pendidikan SMA,7.8652
8171,"Kota Ambon, Maluku",Jenjang Pendidikan SMA,7.8522
9427,"Kab. Supiori, Papua",Jenjang Pendidikan SMA,7.8431
3205,"Kab. Garut, Jawa Barat",Jenjang Pendidikan SMA,7.8125
1109,"Kab. Pidie, Aceh",Jenjang Pendidikan SMA,7.7922
1304,"Kab. Sijunjung, Sumatera Barat",Jenjang Pendidikan SMA,7.7348
7325,"Kab. Luwu Timur, Sulawesi Selatan",Jenjang Pendidikan SMA,7.6023
3212,"Kab. Indramayu, Jawa Barat",Jenjang Pendidikan SMA,7.5949
7206,"Kab. Tolitoli, Sulawesi Tengah",Jenjang Pendidikan SMA,7.4074
7313,"Kab. Wajo, Sulawesi Selatan",Jenjang Pendidikan SMA,7.3944
7172,"Kota Bitung, Sulawesi Utara",Jenjang Pendidikan SMA,7.2464
