KODE_KAB,KABUPATEN,JENJANG_PENDIDIKAN,PCT_BERAT
7322,"Kab. Luwu Utara, Sulawesi Selatan",Jenjang Pendidikan SLB,2.8571
5206,"Kab. Bima, Nusa Tenggara Barat",Jenjang Pendidikan SLB,2.8571
3302,"Kab. Banyumas, Jawa Tengah",Jenjang Pendidikan SLB,2.7027
3205,"Kab. Garut, Jawa Barat",Jenjang Pendidikan SLB,2.6432
3173,"Kota Jakarta Pusat, D.K.I. Jakarta",Jenjang Pendidikan SLB,2.6087
3207,"Kab. Ciamis, Jawa Barat",Jenjang Pendidikan SLB,2.5907
6472,"Kota Samarinda, Kalimantan Timur",Jenjang Pendidikan SLB,2.3622
3275,"Kota Bekasi, Jawa Barat",Jenjang Pendidikan SLB,2.2059
3404,"Kab. Sleman, D.I. Yogyakarta",Jenjang Pendidikan SLB,1.9737
6474,"Kota Bontang, Kalimantan Timur",Jenjang Pendidikan SLB,1.9608
7271,"Kota Palu, Sulawesi Tengah",Jenjang Pendidikan SLB,1.9608
3312,"Kab. Wonogiri, Jawa Tengah",Jenjang Pendidikan SLB,1.8692
1305,"Kab. Tanah Datar, Sumatera Barat",Jenjang Pendidikan SLB,1.7544
3209,"Kab. Cirebon, Jawa Barat",Jenjang Pendidikan SLB,1.5625
3517,"Kab. Jombang, Jawa Timur",Jenjang Pendidikan SLB,1.5152
3216,"Kab. Bekasi, Jawa Barat",Jenjang Pendidikan SLB,1.5152
3401,"Kab. Kulon Progo, D.I. Yogyakarta",Jenjang Pendidikan SLB,1.4493
3306,"Kab. Purworejo, Jawa Tengah",Jenjang Pendidikan SLB,1.3889
1302,"Kab. Pesisir Selatan, Sumatera Barat",Jenjang Pendidikan SLB,1.3699
1872,"Kota Metro, Lampung",Jenjang Pendidikan SLB,1.3699
7306,"Kab. Gowa, Sulawesi Selatan",Jenjang Pendidikan SLB,1.3158
3516,"Kab. Mojokerto, Jawa Timur",Jenjang Pendidikan SLB,1.2346
3211,"Kab. Sumedang, Jawa Barat",Jenjang Pendidikan SLB,1.2245
3577,"Kota Madiun, Jawa Timur",Jenjang Pendidikan SLB,1.1494
3171,"Kota Jakarta Selatan, D.K.I. Jakarta",Jenjang Pendidikan SLB,1.0965
3277,"Kota Cimahi, Jawa Barat",Jenjang Pendidikan SLB,0.9524
3372,"Kota Surakarta, Jawa Tengah",Jenjang Pendidikan SLB,0.7143
3313,"Kab. Karanganyar, Jawa Tengah",Jenjang Pendidikan SLB,0.6757
3310,"Kab. Klaten, Jawa Tengah",Jenjang Pendidikan SLB,0.5291
3374,"Kota Semarang, Jawa Tengah",Jenjang Pendidikan SLB,0.3436
3402,"Kab. Bantul, D.I. Yogyakarta",Jenjang Pendidikan SLB,0.2331
1309,"Kab. Pasaman, Sumatera Barat",Jenjang Pendidikan SLB,0
1703,"Kab. Bengkulu Utara, Bengkulu",Jenjang Pendidikan SLB,0
3573,"Kota Malang, Jawa Timur",Jenjang Pendidikan SLB,0
8103,"Kab. Maluku Tengah, Maluku",Jenjang Pendidikan SLB,0
7303,"Kab. Bantaeng, Sulawesi Selatan",Jenjang Pendidikan SLB,0
7372,"Kota Parepare, Sulawesi Selatan",Jenjang Pendidikan SLB,0
1609,"Kab. Ogan Komering Ulu Timur, Sumatera Selatan",Jenjang Pendidikan SLB,0
1504,"Kab. Batang Hari, Jambi",Jenjang Pendidikan SLB,0
3323,"Kab. Temanggung, Jawa Tengah",Jenjang Pendidikan SLB,0
6371,"Kota Banjarmasin, Kalimantan Selatan",Jenjang Pendidikan SLB,0
5271,"Kota Mataram, Nusa Tenggara Barat",Jenjang Pendidikan SLB,0
7472,"Kota Baubau, Sulawesi Tenggara",Jenjang Pendidikan SLB,0
5171,"Kota Denpasar, Bali",Jenjang Pendidikan SLB,0
6501,"Kab. Malinau, Kalimantan Utara",Jenjang Pendidikan SLB,0
1408,"Kab. Bengkalis, Riau",Jenjang Pendidikan SLB,0
